short_word,support,examples
maa,580,"['maa-algkoolid', 'maa-aluseid', 'maa-arstidele']"
töö,474,"['töö-lubaduste', 'töö-otsijatele', 'võidu-töö']"
elu,408,"['elu-asemepoliitikas', 'elu-stiili', 'elu-viisi']"
üle,404,"['üle-eestine', 'üle-kümne-tuhandeliste', 'üle-treeningust']"
ühe,325,"['ühe-kaheaastases', 'ühe-kahekorruselist', 'ühe-minuti-arvustused']"
tee,262,"['tee-ehituslepingute', 'tee-ehitusprojektist', 'tee-istandust']"
vee,262,"['vee-eelnõu', 'vee-efektiga', 'vee-motoklubi']"
aja,259,"['aja-kirjanikule', 'aja-lool', 'ülemineku-aja']"
ja,243,"['informaatika-ja', 'lae-ja-lase', 'silma-ja']"
pea,233,"['pea-staabist', 'pea-toimetajakonkurss', 'pea-treeneril']"
eel,220,"['eel-arvekulutustest', 'eel-arveosakonna', 'eel-ujumisest']"
Maa,208,"['Maa-alalt', 'Maa-keskne', 'Maa-nimelisel']"
ala,205,"['Ida-ala', 'ala-grupivastaste', 'ala-osa']"
või,202,"['esi-või', 'teadus-või', 'ülem-või']"
ida,190,"['ida-arveldustes', 'ida-eestlasi', 'ida-friisi']"
osa,171,"['Salati-osa', 'finaal-osa', 'osa-ajatööks']"
ta,159,"['pais-ta', 'teadma-ta', 'töö-loa-ta']"
te,157,"['hoolealus-te', 'müügi-mees-te', 'staabiülema-te']"
era,156,"['era-elust', 'era-kortermajade', 'era-ülikoolis']"
eri,151,"['eri-efektide', 'eri-impordisüsteemidest', 'eri-osastavat']"
isa,150,"['isa-lapse', 'isa-veli', 'risti-isa']"
abi,149,"['abi-nõudega', 'abi-vajajaga', 'juhi-abi']"
aeg,146,"['hundijahihoo-aeg', 'null-aeg', 'viisa-aeg']"
ema,144,"['ema-keel', 'haldja-ema', 'põdra-ema']"
uus,139,"['uus-abitute', 'uus-elamuid', 'uus-slavofiilsus']"
iga,135,"['Inc-iga', 'iga-aastastele', 'lasteaia-iga']"
ma,130,"['asus-ta-ma-ta', 'oda-va-ma', 'sõit-ma']"
äri,130,"['äri-inimestele', 'äri-intellektitehnika', 'äri-keskkond']"
eks,122,"['eks-ametnike', 'eks-ihukaitsja', 'eks-vangidele']"
all,104,"['all-asutusi', 'all-ettevõte', 'all-töövõtja']"
oma,101,"['oma-ette', 'oma-finantseeringu', 'oma-poolse']"
esi,99,"['esi-osa', 'esi-ots', 'esi-sprinteriks']"
de,99,"['huvi-de', 'kõne-de', 'sügispäeva-de']"
jõu,93,"['jõu-struktuurid', 'jõu-treeninguga', 'mõju-jõu']"
Kuu,86,"['Kuu-aparaat', 'Kuu-projekti', 'Kuu-päevaliselt']"
Ida,86,"['Ida-blokist', 'Ida-orientatsiooni', 'Ida-pataljonide']"
hea,84,"['hea-kuri', 'hea-soe-pehme', 'hea-tegevuskontserdil']"
na,83,"['12-na', 'jõu-na', 'too-na-sest']"
mäe,83,"['Võlla-mäe', 'mäe-kodu', 'mäe-üksindus']"
õhu,81,"['õhu-jõudude', 'õhu-löögid', 'õhu-uuringute']"
asi,79,"['Ise-asi', 'asi-filmindus', 'kinnis-asi']"
öö,76,"['maadlus-öö', 'öö-ajal', 'öö-olümpiamängud']"
va,76,"['Sääst-va', 'and-va', 'oda-va']"
ees,74,"['ees-kätt', 'ees-märk', 'kes-ees-see-mees']"
soo,71,"['soo-küsimus', 'soo-piimputk', 'soo-uurijaist']"
jää,70,"['jää-etenduste', 'jää-äädikhappe', 'jää-äärekülades']"
ava,69,"['ava-aastate', 'ava-süli', 'õhuvõtu-ava']"
ära,69,"['ära-kaugele', 'ära-korrutatud', 'ära-ootajat']"
kuu,68,"['kuu-muinasjutte', 'kuu-usust', 'kuu-uurijana']"
ise,68,"['ise-loo-mus-ta', 'ise-seis-va', 'ise-ärasuseks']"
usu,67,"['kabala-usu', 'usu-me', 'usu-teema']"
puu,66,"['ee-puu', 'puu-maja', 'puu-nõude']"
me,65,"['näe-me', 'soo-me', 'toi-me']"
ime,63,"['ime-ime', 'ime-odav', 'ime-ootamise']"
ilu,58,"['ilu-ideaalidega', 'ilu-pajalappe', 'ilu-tulestikurakett']"
ase,57,"['ase-peasekretärina', 'ase-presidendikandidaadina', 'ase-spiikri']"
Üle,57,"['Üle-määra', 'Üle-värvitud', 'Üle-üldse']"
edu,56,"['edu-aruandes', 'edu-ideoloogiale', 'täis-edu']"
moe,55,"['moe-eelistus', 'moe-looja', 'moe-ringkondadest']"
alg,51,"['alg-aegadest', 'alg-fantoom', 'alg-klassiõpetajaid']"
nõu,51,"['nõu-andev', 'nõu-koguliku', 'nõu-kogulikumalt']"
eht,50,"['eht-californialikult', 'eht-eestilikult', 'eht-euroopalikud']"
tas,49,"['eelis-tas', 'esi-tas', 'valmis-tas']"
aed,49,"['Kirsi-aed', 'aed-lumeroos', 'aed-põõsalind']"
Töö,49,"['Töö-andjad', 'Töö-hõiveametis', 'Töö-inspektsioon']"
aju,48,"['aju-haigused', 'aju-uurdes', 'aju-uuringutel']"
loo,48,"['Aruküla-loo', 'Talve-loo', 'loo-jutustamine']"
tõe,47,"['tõe-poolest', 'tõe-truudusega', 'tõe-uurijad']"
jah,47,"['Ja-jah', 'ja-jah', 'jah-hääletajaid']"
au,46,"['au-hinda', 'au-nimetusi', 'au-president']"
gei,45,"['gei-abielu', 'gei-jutuga', 'gei-ringkondadele']"
ses,45,"['hiljuti-ses', 'igapäeva-ses', 'nai-ses']"
une,44,"['une-ajast', 'une-juttu', 'une-ärkveloleku']"
ka,43,"['ka-va-la', 'ka-vandatavad', 'lae-ka-unistus']"
õli,42,"['inspiratsiooni-õli', 'maa-õli', 'õli-kütet']"
Tee,41,"['Tee-ehitajatel', 'Tee-ehitusele', 'Tee-ehitusraha']"
ufo,40,"['ufo-objektidelt', 'ufo-teemalisi', 'ufo-teemalist']"
õhk,40,"['maa-õhk-maa', 'maa-õhk-rakett', 'õhk-õrna']"
onu,40,"['Karu-onu', 'Kaunispaiga-onu', 'kopra-onu']"
sa,37,"['ilu-sa', 'liht-sa-te', 'mäe-suu-sa-kes-kus']"
la,37,"['End-la', 'hoid-la', 'kel-la']"
eas,36,"['hooldekodu-eas', 'poisikese-eas', 'vanaisa-eas']"
Vee,35,"['Vee-ettevõte', 'Vee-ettevõtjate', 'Vee-kolmnurga']"
suu,35,"['suu-pillipealinnaks', 'suu-pärane', 'suu-ulatuses']"
hoo,35,"['hoo-ajaeelseid', 'hoo-ajalist', 'hoo-ajatöölisi']"
aia,34,"['Rist-aia', 'aia-tööde', 'traat-aia']"
mee,34,"['mee-aasta', 'mee-ingveri', 'mee-küüslaugusegu']"
olu,33,"['asja-olu', 'iga-olu-kindlat', 'nähtaval-olu']"
näo,33,"['näo-lõualuukirurgi', 'näo-osadele', 'üle-näo-jumestajaks']"
ilm,33,"['ilm-aga', 'läänemaa-ilm', 'tantsumaa-ilm']"
alt,32,"['alt-atribuut', 'alt-käemaksuskandaali', 'alt-paremalt']"
üks,32,"['üks-ainuke', 'üks-kord', 'üks-null']"
usk,32,"['illusioonide-usk', 'loodus-usk', 'tuleviku-usk']"
väe,31,"['väe-osad', 'väe-usulisest', 'väe-üksused']"
mai,30,"['Aprilli-mai', 'mai-kuninganna', 'mai-kuus']"
aru,29,"['Tamm-aru', 'aru-ande', 'aru-saajate']"
Eks,29,"['Eks-keiser', 'Eks-presskaardi', 'Eks-riigisekretär']"
mus,28,"['ise-loo-mus', 'mus-talt', 'väsi-mus']"
käe,27,"['käe-jala', 'käe-käigu', 'käe-käik']"
ego,27,"['ego-kaartide', 'ego-laadse', 'ego-teadvuse']"
su,26,"['heit-me-ta-su', 'ka-su-ta', 'palgatõu-su']"
õde,26,"['õde-koordinaator', 'õde-perenaise', 'õde-perenaisena']"
Uus,26,"['Uus-põld', 'Uus-renessanss', 'Uus-urbanistlikus']"
Eel,26,"['Eel-arveperioodil', 'Eel-nõu', 'Eel-olevaks']"
Pea,25,"['Pea-grupp', 'Pea-pea', 'Pea-poolt']"
poe,25,"['Interneti-poe', 'poe-esist', 'poe-kuuseehetega']"
Tai,24,"['Tai-juhtum', 'Tai-reisi', 'Tai-sõitu']"
mu,24,"['aru-saa-mu', 'haldusvõi-mu', 'mu-retsemiseks']"
sel,23,"['auväär-sel', 'endi-sel', 'öö-sel']"
mao,23,"['mao-aasta', 'mao-sooletraktile', 'mao-sooletraktist']"
kas,23,"['Alas-kas', 'kas-vanud', 'tõu-kas']"
nii,22,"['nii-kaua', 'nii-kui-nii', 'nii-samuti']"
Ühe,22,"['Ühe-aegselt', 'Ühe-kaheaastased', 'Ühe-kahelehmapidajate']"
ei,22,"['ei-kellegi-maana', 'ei-kusagilt', 'ei-teine']"
peo,22,"['Tantsu-peo', 'peo-meeleolus', 'peo-täie']"
Iga,22,"['Iga-aastase', 'Iga-aastasele', 'Iga-päevased']"
lau,22,"['lau-päevaks', 'lau-päeval', 'lau-päevasest']"
ist,21,"['Reporter-ist', 'Times-ist', 'ekspress-ist']"
kus,21,"['Tas-kus', 'Vai-kus', 'ole-kus-olemisega']"
aas,21,"['14-aas-tase', 'aas-ristikheina', 'aas-taks']"
õue,21,"['õue-keerdtrepiga', 'õue-küünaldeni', 'õue-uneks']"
sea,21,"['sea-aastat', 'sea-kasvatusse', 'sea-liha']"
muu,20,"['muu-hulgas', 'muu-keelses', 'muu-riiulite']"
las,20,"['Poo-las', 'ida-saks-las-test', 'üliõpi-las-te']"
ohu,19,"['Venemaa-ohu', 'ohu-kasu', 'ohu-tsoonist']"
luu,19,"['luu-liigessüsteemi', 'luu-liigestehaiguse', 'näpu-luu']"
