token,vabamorf,is_pronoun
-END-,False,True
-Esimene,True,True
-Esimese,True,True
-Esimeses,True,True
-Esimest,True,True
-Iga,True,True
-Igal,True,True
-Igalt,True,True
-Ise,True,True
-Keda,True,True
-Kellel,True,True
-Kellena,True,True
-Kes,True,True
-Kõige,True,True
-Kõik,True,True
-MA,True,True
-ME,True,True
-Ma,True,True
-Me,True,True
-Meie,True,True
-Meil,True,True
-Mida,True,True
-Mille,True,True
-Milline,True,True
-Millised,True,True
-Milliseks,True,True
-Mina,True,True
-Mingid,True,True
-Minu,True,True
-Mis,True,True
-Mitme,True,True
-Mitmel,True,True
-Mitu,True,True
-Muuga,False,True
-Mõned,True,True
-Nad,True,True
-Need,True,True
-Neid,True,True
-Oma,True,True
-Palju,True,True
-Paljud,True,True
-Sa,True,True
-Sama,True,True
-Samas,True,True
-Seda,True,True
-See,True,True
-Sel,True,True
-Selle,True,True
-Selleks,True,True
-Selles,True,True
-Selline,True,True
-Sellisel,True,True
-Sina,True,True
-Sinus,True,True
-Sinust,True,True
-Ta,True,True
-Talle,True,True
-Te,True,True
-Teie,True,True
-Teine,True,True
-Teise,True,True
-Teised,True,True
-Teiseks,True,True
-Teist,True,True
-Tema,True,True
-end,True,True
-end-,False,True
-endal,True,True
-esimene,True,True
-iga,True,True
-igal,True,True
-igas,True,True
-igasse,True,True
-ise,True,True
-iseenesest,True,True
-kedagi,True,True
-keegi,True,True
-kelle,True,True
-kelleks,True,True
-kes,True,True
-kumbki,True,True
-kummaski,True,True
-kõige,True,True
-kõigi,True,True
-kõik,True,True
-ma,True,True
-me,True,True
-meiega,True,True
-meil,True,True
-mida,True,True
-midagi,True,True
-mille,True,True
-milleks,True,True
-milline,True,True
-milliseid,True,True
-mina,True,True
-mingeid,True,True
-mingi,True,True
-mingid,True,True
-mingist,True,True
-minu,True,True
-minule,True,True
-mis,True,True
-missugused,True,True
-mul,True,True
-mulle,True,True
-must,True,True
-muu,True,True
-muuta,True,True
-mõlemad,True,True
-mõned,True,True
-mõni,True,True
-mõningane,True,True
-nad,True,True
-need,True,True
-neid,True,True
-neil,True,True
-neile,True,True
-neilt,True,True
-nemad,True,True
-nende,True,True
-oma,True,True
-palju,True,True
-paljud,True,True
-paljude,True,True
-sa,True,True
-sama,True,True
-seda,True,True
-sedagi,False,True
-see,True,True
-seks,True,True
-sel,True,True
-selle,True,True
-sellega,True,True
-selleks,True,True
-sellele,True,True
-selles,True,True
-sellest,True,True
-selline,True,True
-selliseid,True,True
-selt,True,True
-ses,True,True
-sest,True,True
-sulgi,False,True
-susse,True,True
-ta,True,True
-ta-,False,True
-tagi,False,True
-tal,True,True
-talle,True,True
-taoline,True,True
-taolise,True,True
-taolised,True,True
-taolisega,True,True
-taolises,True,True
-taolisi,True,True
-taolisse,True,True
-taolist,True,True
-taoliste,True,True
-taolistes,True,True
-taolistest,True,True
-tas,True,True
-te,True,True
-teda,True,True
-teid,True,True
-teine,True,True
-teisel,True,True
-teist,True,True
-teiste,True,True
-teistele,True,True
-tema,True,True
-temal,True,True
-temale,True,True
-too,True,True
-Ühe,True,True
-Ühed,True,True
-Üks,True,True
-ühe,True,True
-ühed,True,True
-ühegi,False,True
-ühel,True,True
-ühele,True,True
-ühelt,True,True
-ühtegi,False,True
-üks,True,True
A-see,True,False
A-te,True,False
AGA-IgA,True,False
AK-47-te,True,False
ANN-minu,True,False
ANN-nad,True,False
ANNi-taolisi,True,False
ASVELi-taoliste,True,False
Aas-tal,True,False
Aas-tas,True,False
Abeli-taolist,True,False
Absoluut-selt,True,False
Afganistani-taolise,True,False
Aini-taolisele,True,False
Ajuvaba-mis,True,False
Albaania-taolised,True,False
Albaania-taoliseks,True,False
Algu-ses,True,False
Ammende-taolisi,True,False
Andi-taolised,True,False
Andorra-taoliste,True,False
Andrei-taoliste,True,False
Annelinna-taolistesse,True,False
Anni-taolised,True,False
Arbuja-oma,True,False
Argentiina-taolise,True,False
Arsenali-taolise,True,False
Arturi-taolise,True,False
Aru-taoline,True,False
Auhind-midagi,True,False
Austria-taolise,True,False
Autori-mina,True,False
BBC-iga,True,False
Barbadose-taoline,True,False
Barcelona-taolise,True,False
Baroki-omast,True,False
Beebikooli-iga,True,False
Boliivia-teine,True,False
Bondi-oma,True,False
Bondi-taolist,True,False
Bosnia-taolisteks,True,False
Bossi-taolise,True,False
Brasiilia-taoliste,True,False
C-iga,True,False
CD-ma,True,False
CV-iga,True,False
Clintoni-taoline,True,False
Clintoni-taolistele,True,False
D-iga,True,False
DELFI-s-see,True,False
Daami-taolise,True,False
Delfi-see,True,False
Delfi-taoline,True,False
DigiDogi-taoliste,True,False
Dublini-taoliseks,True,False
E-mu,True,False
EE-sellel,True,False
EIKELLEGI,True,True
EIKELLELEGI,True,True
EL-IGA,True,False
EL-ta,True,False
ELK-iga,True,False
ELi-taoline,True,False
EMT-iga,True,False
END,True,True
ENDA,True,True
ENDAGA,True,True
ENDAKS,True,True
ENDAL,True,True
ENDALE,True,True
ENDALEGI,True,True
ENDALGI,True,True
ENDAS,True,True
